Open,High,Low,Close,Volume,nextdaylow
6430.61,6504.52,6374.16,6438.64,32786468812,6202.37
5925.54,6517.20,5903.23,6429.84,37101651525,6374.16
6245.62,6250.47,5920.09,5922.04,28373690931,5903.23
6467.25,6467.50,6117.84,6242.19,34885225901,5920.09
6719.39,6793.84,6466.70,6469.80,34585598367,6117.84
6675.17,6735.46,6590.96,6716.44,35319797642,6466.70
6738.72,6892.51,6536.93,6681.06,44590107888,6590.96
6436.64,6789.02,6411.07,6734.80,48221910672,6536.93
5831.37,6443.93,5785.00,6416.31,46491916000,6411.07
6185.56,6359.70,5823.71,5830.25,40099664740,5785.00
6206.52,6378.14,5932.82,6185.07,42494390880,5823.71
6191.65,6844.26,5865.78,6198.78,54442976103,5932.82
5245.42,6329.74,5236.97,6191.19,51000731797,5865.78
5227.11,5331.83,5069.34,5238.44,37878801016,5236.97
5002.58,5371.35,4981.91,5225.63,38622642935,5069.34
5385.23,5385.23,4575.36,5014.48,45368026430,4981.91
5201.07,5836.65,5169.28,5392.31,33997889639,4575.36
5573.08,5625.23,5125.07,5200.37,36154506008,5169.28
5017.83,5838.11,4106.98,5563.71,74156772075,5125.07
7913.62,7929.12,4860.35,4970.79,53980357243,4106.98
7910.09,7950.81,7642.81,7911.43,38682762605,4860.35
7922.15,8136.95,7814.76,7909.73,42213940994,7642.81
8111.15,8177.79,7690.10,7923.64,46936995808,7814.76
8908.21,8914.34,8105.25,8108.12,39973102121,7690.10
9121.60,9163.22,8890.74,8909.95,36216930370,8105.25
9078.31,9167.70,9032.08,9122.55,40826885651,8890.74
8760.29,9142.05,8757.25,9078.76,39698054597,9032.08
8788.54,8843.37,8712.43,8755.25,34746706368,8757.25
8865.39,8901.60,8704.99,8787.79,42386715821,8712.43
8563.26,8921.31,8532.63,8869.67,42857674409,8704.99
8599.76,8726.80,8471.21,8562.45,35349164300,8532.63
8671.21,8775.63,8599.51,8599.51,35792392544,8471.21
8788.73,8890.46,8492.93,8672.46,44605450443,8599.51
8825.09,8932.89,8577.20,8784.49,45470195695,8492.93
9338.29,9354.78,8704.43,8820.52,50420050762,8577.20
9651.31,9652.74,9305.02,9341.71,42515259129,8704.43
9921.58,9951.75,9537.04,9650.17,45080496648,9305.02
9663.32,9937.40,9657.79,9924.52,41185185761,9537.04
9687.71,9698.23,9600.73,9663.18,35838025154,9657.79
9611.78,9723.01,9589.74,9686.44,40930547513,9600.73
9629.33,9643.22,9507.90,9608.48,44925260237,9589.74
10143.80,10191.68,9611.22,9633.39,46992019710,9507.90
9691.23,10161.94,9632.38,10142.00,47271023953,9611.22
9936.56,9938.82,9507.64,9690.14,45998298413,9632.38
9889.18,10053.97,9722.39,9934.43,43374780305,9507.64
10313.86,10341.56,9874.43,9889.42,43865054831,9722.39
10211.55,10322.00,10125.53,10312.12,43338264162,9874.43
10323.96,10457.63,10116.16,10214.38,49356071373,10125.53
10202.39,10393.61,10202.39,10326.05,43444303830,10116.16
9855.89,10210.05,9729.33,10208.24,37648059389,10202.39
10115.56,10165.77,9784.56,9856.61,39386548075,9729.33
9863.89,10129.44,9850.39,10116.67,35807884663,9784.56
9793.07,9876.75,9678.91,9865.12,35172043762,9850.39
9726.00,9834.72,9726.00,9795.94,34522718159,9678.91
9617.82,9824.62,9539.82,9729.80,37628823716,9726.00
9183.42,9701.30,9163.70,9613.42,35222060874,9539.82
9292.84,9331.27,9112.81,9180.96,29893183716,9163.70
9344.68,9540.37,9248.63,9293.52,30934096509,9112.81
9389.82,9468.80,9217.82,9344.37,30835736946,9248.63
9346.36,9439.32,9313.24,9392.88,25922656496,9217.82
9508.31,9521.71,9230.78,9350.53,29432489719,9313.24
9316.02,9553.13,9230.90,9508.99,32378792851,9230.78
9357.47,9406.43,9269.47,9316.63,30682598115,9230.90
8912.52,9358.59,8908.45,9358.59,34398744403,9269.47
8597.31,8977.73,8597.31,8909.82,28647338393,8908.45
8364.41,8602.40,8325.50,8596.83,22177678796,8597.31
8440.12,8458.45,8296.22,8367.85,19647331549,8325.50
8405.57,8514.67,8266.84,8445.43,24397913026,8296.22
8680.65,8687.75,8333.64,8406.52,25770680779,8266.84
8744.21,8792.99,8636.75,8680.88,22600204051,8333.64
8658.99,8755.71,8544.52,8745.89,24097418512,8636.75
8704.63,8745.59,8560.47,8657.64,26422375678,8544.52
8941.45,9164.36,8620.08,8706.25,34217320471,8560.47
8927.21,9012.20,8827.33,8942.81,32337772627,8620.08
8725.21,8958.12,8677.32,8929.04,36372139320,8827.33
8812.48,8846.46,8612.10,8723.79,31313981931,8677.32
8825.34,8890.12,8657.19,8807.01,40102834650,8612.10
8140.93,8879.51,8140.93,8827.76,44841784107,8657.19
8189.77,8197.79,8079.70,8144.19,22482910688,8140.93
8033.26,8200.06,8009.06,8192.49,22903438381,8079.70
8162.19,8218.36,8029.64,8037.54,25521165085,8009.06
7878.31,8166.55,7726.77,8166.55,28714583844,8029.64
8082.30,8082.30,7842.40,7879.07,24045990466,7726.77
8161.94,8396.74,7956.77,8079.86,31672559265,7842.40
7768.68,8178.22,7768.23,8163.69,28767291327,7956.77
7410.45,7781.87,7409.29,7769.22,23276261598,7768.23
7410.45,7544.50,7400.54,7411.32,19725074095,7409.29
7345.38,7427.39,7309.51,7410.66,18444271275,7400.54
6984.43,7413.72,6915.00,7344.88,28111481032,7309.51
7202.55,7212.16,6935.27,6985.47,20802083465,6915.00
7194.89,7254.33,7174.94,7200.17,18565664997,6935.27
7294.44,7335.29,7169.78,7193.60,21167946112,7174.94
7420.27,7454.82,7276.31,7293.00,22874131672,7169.78
7317.65,7513.95,7279.87,7422.65,22445257702,7276.31
7289.03,7399.04,7286.91,7317.99,21365673026,7279.87
7238.14,7363.53,7189.93,7290.09,22777360996,7286.91
7274.80,7388.30,7200.39,7238.97,22787010034,7189.93
7325.76,7357.02,7220.99,7275.16,21559505149,7200.39
7354.39,7535.72,7269.53,7322.53,22991622105,7220.99
7508.90,7656.18,7326.19,7355.63,27831788041,7269.53
7191.19,7518.03,7167.18,7511.59,23134537956,7326.19
7220.59,7223.23,7112.74,7191.16,19312552168,7167.18
7208.64,7257.92,7086.12,7218.82,22633815180,7112.74
7277.59,7346.60,7041.38,7202.84,25904604416,7086.12
6647.70,7324.98,6540.05,7276.80,31836522778,7041.38
6931.32,6964.07,6587.97,6640.52,22363804217,6540.05
7153.66,7171.17,6903.68,6932.48,20213265950,6587.97
7124.24,7181.08,6924.38,7152.30,16881129804,6903.68
7268.90,7308.84,7097.21,7124.67,17137029730,6924.38
7244.66,7293.56,7227.12,7269.68,17125736940,7097.21
7216.74,7266.64,7164.74,7243.13,18927080224,7227.12
7277.20,7324.16,7195.53,7217.43,16350490689,7164.74
7397.13,7424.02,7246.04,7278.12,18249031195,7195.53
7561.80,7618.09,7365.99,7400.90,17872021272,7246.04
7551.34,7634.61,7476.09,7564.35,15409908086,7365.99
7547.27,7589.95,7525.71,7556.24,15453520564,7476.09
7450.56,7547.00,7392.18,7547.00,18104466307,7525.71
7253.24,7743.43,7232.68,7448.31,18816085231,7392.18
10350.28,10916.05,10313.20,10916.05,16038264603,10618.96
10233.01,10487.07,10119.09,10345.81,12999813869,10313.20
10358.72,10452.62,10086.70,10231.74,13778035685,10119.09
10319.42,10524.35,9855.48,10374.34,20228207096,10086.70
10038.42,10437.41,9675.32,10311.55,22899115082,9855.48
10889.49,10889.56,10028.14,10051.70,19990838300,9675.32
11385.05,11420.05,10830.33,10895.83,16681503537,10028.14
11528.19,11528.19,11320.95,11382.62,13647198229,10830.33
11349.74,11523.58,11248.29,11523.58,15774371518,11320.95
11861.56,11915.66,11323.90,11354.02,18125355447,11248.29
11953.47,11970.46,11709.75,11862.94,18339989960,11323.90
11954.04,11979.42,11556.17,11966.41,19481591730,11709.75
11476.19,12036.99,11433.70,11941.97,22194988641,11556.17
11811.55,12273.82,11290.73,11478.17,23635107660,11433.70
10960.74,11895.09,10960.74,11805.65,23875988832,11290.73
10821.63,11009.21,10620.28,10970.18,16530894787,10960.74
10519.28,10946.78,10503.50,10821.73,15352685061,10620.28
10402.04,10657.95,10371.01,10518.17,17489094082,10503.50
10077.44,10446.92,9922.02,10399.67,17165337858,10371.01
9604.05,10085.63,9598.10,10085.63,16631520648,9922.02
9522.33,9701.76,9437.34,9607.42,13829811132,9598.10
9548.18,9681.65,9472.95,9519.15,13791445323,9437.34
9491.63,9575.55,9252.30,9552.86,13738687093,9472.95
9871.16,10167.32,9411.52,9477.68,16817809536,9252.30
9913.13,9916.52,9717.98,9870.30,14495714483,9411.52
9809.10,10154.25,9773.96,9911.84,15821952090,9717.98
9887.73,9908.80,9614.31,9811.93,17398734322,9773.96
10346.75,10346.75,9883.60,9900.77,17851916995,9614.31
10596.95,10651.79,10154.92,10343.11,16334414913,9883.60
10777.53,10841.89,10389.60,10599.11,17130580467,10154.92
10525.82,11048.66,10451.28,10767.14,20206615155,10389.60
10653.96,10716.98,10229.63,10530.73,20727426310,10451.28
9698.50,10736.84,9376.80,10666.48,25187024648,10229.63
9471.21,9963.13,9163.13,9693.80,24569921549,9376.80
10896.65,10996.63,9448.11,9477.64,24151199070,9163.13
10257.84,11052.77,9992.01,10895.09,25384047207,9448.11
11381.02,11451.20,10234.58,10256.06,22486000001,9992.01
11813.13,11841.96,10908.48,11392.38,21042616384,10234.58
11354.30,11905.49,11179.14,11815.99,23534692797,10908.48
12139.71,12144.62,11158.92,11358.66,28595327690,11179.14
12571.54,13129.53,11710.98,12156.51,33627574244,11158.92
12284.33,12779.13,12233.26,12573.81,28167921523,11710.98
11446.60,12345.83,11393.37,12285.96,23482551458,12233.26
11217.62,11541.62,11148.80,11450.85,19369044277,11393.37
10982.54,11620.97,10982.54,11208.55,21092024306,11148.80
11203.10,11395.66,10874.96,10978.46,23838480210,10982.54
11972.72,12006.08,11166.57,11215.44,25920294033,10874.96
10818.16,11968.08,10818.16,11961.27,30796494294,11166.57
10588.68,10912.19,9737.88,10801.68,31015895223,10818.16
10796.93,11206.44,10089.31,10583.13,29378589324,9737.88
11931.99,12178.38,10799.01,10817.16,27256473494,10089.31
12400.76,12400.91,11508.38,11959.37,29923961128,10799.01
11162.17,12445.18,10914.49,12407.33,35087757766,11508.38
13017.12,13311.14,10491.85,11182.81,39977475223,10914.49
11778.58,13796.49,11755.60,13016.23,45105733173,10491.85
11007.20,11790.92,11007.20,11790.92,24879684533,11755.60
10853.74,11065.90,10610.43,11011.10,19271652365,11007.20
10696.69,11246.14,10556.10,10855.37,20998326502,10610.43
10175.92,11157.35,10107.04,10701.69,29995204861,10556.10
9525.07,10144.56,9525.07,10144.56,20624008643,10107.04
9273.06,9594.42,9232.48,9527.16,17846823784,9525.07
9078.73,9299.62,9070.40,9273.52,15546809946,9232.48
9335.47,9348.37,9004.90,9081.76,15848210536,9070.40
8988.92,9416.41,8988.92,9320.35,15562951919,9004.90
8841.44,9335.87,8814.56,8994.49,23348550311,8988.92
8689.75,8859.13,8618.40,8838.38,18371033226,8814.56
8230.90,8710.64,8183.39,8693.83,19831162906,8618.40
8145.55,8311.57,8087.06,8230.92,18669407147,8183.39
7925.43,8196.65,7862.36,8145.86,19034432883,8087.06
8004.24,8026.39,7772.80,7927.71,17107279932,7862.36
7692.28,8031.91,7586.73,8000.33,18689275117,7772.80
7949.67,7975.97,7583.22,7688.08,16610726547,7586.73
8036.77,8076.89,7837.61,7954.13,16522722810,7583.22
7826.90,8126.15,7788.37,8043.95,19141423231,7837.61
7819.63,7937.34,7571.47,7822.02,19474611077,7788.37
7704.34,7901.85,7668.67,7824.23,21760923463,7571.47
8210.99,8210.99,7564.49,7707.77,24609731549,7668.67
8741.75,8743.50,8204.19,8208.99,22004511436,7564.49
8565.47,8809.30,8561.24,8742.96,20266216022,8204.19
8573.84,8625.60,8481.58,8564.02,22488303544,8561.24
8320.29,8586.66,8172.55,8574.50,25365190957,8481.58
8661.76,9008.31,8221.27,8319.47,29246528551,8172.55
8718.59,8755.85,8482.73,8659.49,23473479966,8221.27
8802.76,8807.02,8634.72,8719.96,24226919267,8482.73
8674.07,8907.17,8668.70,8805.78,27949839564,8634.72
8055.21,8687.52,7924.67,8673.22,26677970091,8668.70
7991.89,8117.93,7965.98,8052.54,22256813107,7924.67
7881.70,8140.72,7824.45,7987.37,25919126991,7965.98
7677.27,7943.79,7533.20,7881.85,24457107820,7824.45
7956.29,7997.61,7615.99,7680.07,24719473175,7533.20
7977.97,8062.17,7843.34,7963.33,25127245056,7615.99
8196.92,8200.97,7678.78,7978.31,23843404340,7843.34
7267.96,8261.94,7267.96,8197.69,25902422040,7678.78
7341.66,7447.27,7251.50,7271.21,21354286562,7267.96
7886.93,7929.15,7038.12,7343.90,30066644905,7251.50
8194.50,8320.82,7729.61,7884.91,33167197581,7038.12
7989.37,8216.42,7899.11,8205.17,28344112920,7729.61
7807.88,8268.71,7696.39,7994.42,32031452227,7899.11
6971.18,8047.41,6898.28,7814.92,28677672181,7696.39
7203.51,7503.87,6815.77,6972.37,27773333680,6898.28
6379.67,7333.00,6375.70,7204.77,28867562329,6815.77
6175.82,6434.62,6161.52,6378.85,19419875368,6375.70
5982.32,6183.04,5982.32,6174.53,16784645411,6161.52
5849.48,5989.98,5794.72,5982.46,15320605300,5982.32
5745.60,5988.18,5741.40,5829.50,18026409033,5794.72
5791.69,5802.96,5653.69,5746.81,15737171804,5741.40
5831.07,5833.86,5708.04,5795.71,14808830723,5653.69
5769.20,5886.89,5645.47,5831.17,17567780766,5708.04
5505.55,5865.88,5490.20,5768.29,18720780006,5645.47
5402.42,5522.26,5394.22,5505.28,14644460907,5490.20
5350.91,5418.00,5347.65,5402.70,13679528236,5394.22
5247.73,5363.26,5224.19,5350.73,13878964574,5347.65
5284.86,5311.27,5216.49,5247.35,13735490672,5224.19
5271.75,5326.23,5255.68,5285.14,12819992056,5216.49
5279.47,5310.75,5233.64,5268.29,13111274675,5255.68
5210.30,5383.63,5177.37,5279.35,16812108040,5233.64
5466.52,5542.24,5181.34,5210.52,15330283408,5177.37
5571.51,5642.04,5418.26,5464.87,17048033399,5181.34
5399.37,5633.80,5389.41,5572.36,15867308108,5418.26
5312.49,5422.69,5280.28,5399.37,14601631648,5389.41
5335.88,5359.93,5257.34,5314.53,13731844223,5280.28
5304.16,5358.49,5295.88,5337.89,13169647522,5257.34
5298.15,5336.68,5233.34,5303.81,13780238655,5295.88
5251.48,5319.99,5250.51,5298.39,13256489918,5233.34
5236.14,5274.28,5219.21,5251.94,12438480677,5250.51
5066.58,5238.95,5055.19,5235.56,11618660197,5219.21
5167.32,5196.61,5024.07,5067.11,12290155061,5055.19
5095.76,5184.02,5053.57,5167.72,10391952498,5024.07
5088.85,5127.12,5061.59,5096.59,10823289598,5053.57
5061.20,5103.27,4955.85,5089.54,13675206312,5061.59
5325.08,5354.23,5017.30,5064.49,16555616019,4955.85
5204.11,5421.65,5193.38,5324.55,15504590933,5017.30
5289.92,5289.92,5167.42,5204.96,14722104361,5193.38
5199.84,5318.84,5148.21,5289.77,17154113634,5167.42
5062.79,5235.19,5050.41,5198.90,16655416140,5148.21
5036.79,5205.82,4992.22,5059.82,16929795194,5050.41
4922.81,5053.51,4919.49,5036.68,16837325387,4992.22
4971.31,5063.16,4836.79,4922.80,18251810240,4919.49
4879.96,5307.00,4876.62,4973.02,22899891582,4836.79
4156.92,4905.95,4155.32,4879.88,21315047816,4876.62
4105.36,4164.95,4096.90,4158.18,10157794171,4155.32
4105.46,4113.02,4094.10,4105.40,9045122443,4096.90
4092.14,4296.81,4053.91,4106.66,9732688060,4094.10
4068.30,4113.50,4034.10,4098.37,10918665557,4053.91
4087.58,4094.90,4040.27,4069.11,9353915899,4034.10
3984.24,4087.07,3977.81,4087.07,10897131934,4040.27
3969.23,3985.08,3944.75,3985.08,10707678815,3977.81
4024.11,4038.84,3934.03,3963.07,10359818883,3944.75
4035.16,4040.70,4006.19,4022.17,9144851065,3934.03
4022.71,4049.88,4015.96,4035.83,9578850549,4006.19
4028.51,4053.91,4021.54,4023.97,9252935969,4015.96
4083.95,4097.36,4005.15,4029.33,10831212662,4021.54
4070.79,4089.46,4031.11,4087.48,10175916388,4005.15
4032.69,4082.22,4023.81,4071.19,9344919956,4031.11
4029.97,4071.56,4009.12,4032.51,9646954186,4023.81
4047.72,4054.12,4006.41,4025.23,8221625400,4009.12
3963.90,4077.04,3961.66,4048.73,9856166973,4006.41
3926.66,3968.54,3914.02,3960.91,9394210605,3961.66
3905.58,3946.50,3901.30,3924.37,10480789570,3914.02
3913.05,3926.60,3891.90,3906.72,9469184841,3901.30
3903.76,3926.89,3863.56,3909.16,9809887079,3891.90
3953.74,3966.38,3889.24,3905.23,10125901903,3863.56
3966.17,3966.17,3924.38,3951.60,9713267607,3889.24
3894.55,3987.24,3892.39,3963.31,10796103518,3924.38
3913.23,3950.43,3875.23,3901.13,10638638944,3892.39
3903.38,3939.37,3894.11,3911.48,9584165519,3875.23
3897.08,3919.51,3871.46,3903.94,9175291529,3894.11
3759.83,3903.92,3745.18,3896.38,10174126415,3871.46
3845.09,3867.38,3733.75,3761.56,9029175788,3745.18
3862.27,3875.48,3836.91,3847.18,7253558152,3733.75
3855.32,3874.61,3832.13,3864.42,7578786076,3836.91
3853.76,3907.80,3851.69,3859.58,7661247975,3832.13
3848.26,3906.06,3845.82,3854.79,8399767798,3851.69
3857.48,3888.80,3787.06,3851.05,8301309684,3845.82
3878.70,3891.58,3837.99,3854.36,7931218996,3787.06
3807.00,3913.71,3807.00,3882.70,9318796067,3837.99
4145.46,4210.64,3793.71,3810.43,10794227451,3807.00
